Dias,Casos Totales,Muertes,Incremento,Casos CDMX,Vel. CDMX,Casos EDO,Vel. EDO,Casos estimados,Activos estimados,hospitalizados_cdmx,Negativos,h_nac,hg_nac,vacunados,Activos-conf,Recuperados,Dosis-disp,completos,IRAG,Fecha,Una dosis,comentarios
1,1,0,1,1,1,0,0,,,1,22,0,0,,,0,,,,28/02/20,,
2,4,0,3,2,1,1,1,,,1,34,1,0,,,0,,,,29/02/20,,
3,5,0,1,2,0,1,0,,,1,60,1,0,,,0,,,,01/03/20,,
4,5,0,0,2,0,1,0,,,1,69,1,0,,,0,,,,02/03/20,,
5,5,0,0,2,0,1,0,,,1,75,1,0,,,0,,,,03/03/20,,
6,5,0,0,3,1,1,0,,,2,112,2,0,,,0,,,,04/03/20,,
7,5,0,0,3,0,1,0,,,2,143,2,0,,,0,,,,05/03/20,,
8,6,0,1,3,0,1,0,,,2,163,2,0,,,0,,,,06/03/20,,
9,7,0,1,4,1,1,0,,,2,186,2,0,,,0,,,,07/03/20,,
10,7,0,0,4,0,1,0,,,2,201,2,1,,,0,,,,08/03/20,,
11,7,0,0,4,0,1,0,,,2,218,2,1,,,0,,,,09/03/20,,
12,7,0,0,5,1,3,2,,,2,234,2,1,,,0,,,,10/03/20,,
13,11,0,4,6,1,3,0,,,3,264,5,2,,,0,,,,11/03/20,,
14,15,0,4,9,3,6,3,,,5,298,5,2,,,0,,,,12/03/20,,
15,26,0,11,11,2,13,7,,,7,344,8,2,,,1,,,,13/03/20,,
16,41,0,15,13,2,20,7,,,8,404,8,3,,,4,,,,14/03/20,,
17,53,0,12,15,2,26,6,,,8,482,12,4,,,5,,,,15/03/20,,
18,82,0,29,17,2,37,11,,,10,579,14,5,,,5,,,,16/03/20,,
19,93,0,11,22,5,43,6,,,13,672,25,10,,,5,,,,17/03/20,,
20,118,0,25,27,5,56,13,,,19,787,38,13,,,5,,,,18/03/20,,
21,164,1,46,39,12,66,10,,,21,921,71,21,,,4,,,,19/03/20,,
22,203,2,39,63,24,71,5,,,36,1111,84,36,,,4,,,,20/03/20,,
23,251,2,48,84,21,77,6,,,38,1463,125,38,,,5,,,,21/03/20,,
24,316,2,65,107,23,92,15,,,42,1667,149,37,,,5,,,,22/03/20,,
25,367,4,51,125,18,99,7,,,45,1865,225,33,,,3,,,,23/03/20,,
26,405,5,38,154,29,102,3,,,47,2161,348,78,,,2,,,,24/03/20,,
27,475,6,70,167,13,116,14,,,50,2445,357,152,,,5,,,,25/03/20,,
28,585,8,110,185,18,123,7,,,105,2156,421,223,,,7,,,,26/03/20,,
29,717,12,132,209,24,128,5,,,128,2475,498,212,,,14,,,,27/03/20,,
30,848,16,131,226,17,137,9,,,175,4341,581,229,,,25,,,,28/03/20,,
31,993,20,145,244,18,140,3,,,257,4955,678,339,,,33,,,,29/03/20,,
32,1094,28,101,256,12,144,4,,,258,5635,702,398,,,54,,,,30/03/20,,
33,1215,29,121,271,15,151,7,,,301,6282,799,394,,,64,,,,31/03/20,,
34,1378,37,163,285,14,158,7,,,313,7073,893,358,,,81,,,93,01/04/20,,
35,1510,50,132,299,14,160,2,,,359,7822,985,401,,,114,,,129,02/04/20,,
36,1688,60,178,332,33,172,12,,,361,8602,1121,441,,,143,,,129,03/04/20,,
37,1890,79,202,397,65,189,17,,,405,9467,1254,552,,,172,,,289,04/04/20,,
38,2143,94,253,492,95,233,44,,,434,10682,1269,559,,,222,,,304,05/04/20,,
39,2439,125,296,552,60,302,69,,,509,11741,1745,608,,,242,,,283,06/04/20,,
40,2785,141,346,653,101,374,72,,,559,15099,1623,702,,,264,,,483,07/04/20,,
41,3181,174,396,766,113,424,50,,,609,17209,1598,856,,,301,,,1070,08/04/20,,
42,3441,194,260,810,44,476,52,,,657,17950,1654,841,,,391,,,1383,09/04/20,,
43,3844,233,403,917,107,567,91,,,768,19749,1632,777,,,484,,,1381,10/04/20,,
44,4219,273,375,993,76,598,31,,,834,21277,1864,967,,,575,,,1622,11/04/20,,
45,4661,296,442,1173,180,653,55,,,910,21943,1943,1053,,,697,,,1752,12/04/20,,
46,5014,332,353,1266,93,704,51,,,997,23040,1987,1048,,,762,,,1847,13/04/20,,
47,5399,406,385,1374,108,759,55,,,1027,23900,2001,1157,,,809,,,1602,14/04/20,,
48,5847,449,448,1480,106,837,78,,,1110,25138,2090,1208,,,929,,,1705,15/04/20,,
49,6297,486,450,1592,112,903,66,,,1121,26511,2132,1387,,,1024,,,1792,16/04/20,,
50,6875,546,578,1804,212,1002,99,,,1255,28126,2165,1298,,,1142,,,2062,17/04/20,,
51,7497,650,622,1984,180,1071,69,,,1408,29301,2234,1338,,,1240,,,2264,18/04/20,,
52,8261,686,764,2232,248,1207,136,,,1548,31170,2145,1589,,,1457,,,2401,19/04/20,,
53,8772,712,511,2323,91,1258,51,,,1647,31945,2789,1697,,2965,1727,,,2690,20/04/20,,
54,9501,857,729,2459,136,1381,123,,,1706,33451,2983,1738,,3185,1928,,,3074,21/04/20,,
55,10544,970,1043,2815,356,1593,212,,,1878,35620,3115,1945,,3618,2211,,,2857,22/04/20,,
56,11633,1069,1089,3157,342,1734,141,,,1932,39664,3289,1935,,4127,2372,,,3340,23/04/20,,
57,12872,1221,1239,3532,375,1992,258,,,2064,41573,3378,2078,,4502,2623,,,3350,24/04/20,,
58,13842,1305,970,3764,232,2238,246,,,2162,43419,3350,2059,,4798,2914,,,3561,25/04/20,,
59,14677,1351,835,3966,202,2355,117,,,2445,45346,3358,2067,,4972,3310,,,3788,26/04/20,,
60,15529,1434,852,4152,186,2455,100,,,2572,48960,3337,1998,,5009,3580,,,4250,27/04/20,,
61,16752,1569,1223,4474,322,2722,267,,,2689,49033,3553,2195,,5329,3830,,,4675,28/04/20,,
62,17799,1732,1047,4782,308,2863,141,,,2679,50850,4006,2265,,5444,4115,,,5792,29/04/20,,
63,19224,1859,1425,5209,427,3130,267,,,2765,52628,4856,2395,,5912,4438,,,6140,30/04/20,,
64,20739,1972,1515,5548,339,3422,292,,,2900,55003,5488,2401,,6390,4903,,,6589,01/05/20,,
65,22088,2061,1349,6013,465,3615,193,,,3037,57167,5930,2462,,6580,5436,,,6649,02/05/20,,
66,23471,2154,1383,6417,404,3893,278,,,3096,59704,6026,2487,,6933,6107,,,6857,03/05/20,,
67,24905,2271,1434,6785,368,4202,309,,,3099,61933,6222,2532,,6696,6501,,,7029,04/05/20,,
68,26025,2507,1120,6999,214,4353,151,,,3201,63540,6461,2619,,6708,6994,,,7312,05/05/20,,
69,27634,2704,1609,7521,522,4661,308,,,3438,65807,6686,2538,,7149,7840,,,7233,06/05/20,,
70,29616,2961,1982,8129,608,5077,416,,,3378,68783,6754,2600,,7802,8672,,,7490,07/05/20,,
71,31522,3160,1906,8705,576,5418,341,,,3424,71351,6885,2594,,8048,9712,,,7712,08/05/20,,
72,33460,3353,1938,9218,513,5710,292,,,3574,73801,7025,2605,,8283,10489,,,7804,09/05/20,,
73,35022,3465,1562,9737,519,5988,278,,,3610,75955,7064,2597,,8457,11212,,,7758,10/05/20,,
74,36327,3573,1305,9983,246,6155,167,,,3767,77798,7057,2609,,8288,11956,,,8388,11/05/20,,
75,38324,3926,1997,10529,546,6540,385,,,3779,80900,7716,2618,,8817,12826,,,8678,12/05/20,,
76,40186,4220,1862,10946,417,6813,273,,,3903,83455,7924,2634,,9378,13579,,,8790,13/05/20,,
77,42595,4477,2409,11664,718,7255,442,,,3964,86591,7946,2641,,10057,14747,,,9133,14/05/20,,
78,45032,4767,2437,12456,792,7570,315,,,4009,89631,8233,2610,,10238,15972,,,9267,15/05/20,,
79,47144,5045,2112,13076,620,7892,322,,,4099,92544,8435,2635,,10681,17043,,,9443,16/05/20,,
80,49219,5177,2075,13672,596,8187,295,,,4159,95568,8568,2697,,11105,18294,,,9694,17/05/20,,
81,51633,5332,2414,14566,894,8556,369,,,4390,98657,8862,2652,,11300,19573,,,10041,18/05/20,,
82,54346,5666,2713,15283,717,9002,446,,,4301,101979,9069,2656,,11767,20359,,,10014,19/05/20,,
83,56594,6090,2248,15844,561,9346,344,,,4419,105129,9110,2736,,12085,21544,,,10086,20/05/20,,
84,59567,6510,2973,16758,914,9661,315,,,4540,108980,9074,2712,,12905,23106,,,10226,21/05/20,,
85,62527,6989,2960,17690,932,10160,499,,,4533,113742,9157,2705,,13347,24533,,,10366,22/05/20,,
86,65856,7179,3329,18912,1222,10606,446,,,4553,118137,9206,2698,,14253,26281,,,10023,23/05/20,,
87,68620,7394,2764,19682,770,11057,451,,,4490,121613,8779,2734,,14247,27628,,,10129,24/05/20,,
88,71105,7633,2485,20235,553,11523,466,,,4458,125036,8914,2745,,14020,28694,,,10655,25/05/20,,
89,74560,8134,3455,20999,764,12366,843,,,4414,128691,9399,2810,,14718,30190,,,10862,26/05/20,,
90,78023,8597,3463,21826,827,13140,774,,,4478,133269,9551,2831,,15592,31589,,,10859,27/05/20,,
91,81400,9044,3377,22698,872,13679,539,,,4420,137263,9543,2816,,16315,33551,,,10937,28/05/20,,
92,84627,9415,3227,23623,925,14063,384,,,4420,140553,9482,2831,,16209,35617,,,10932,29/05/20,,
93,87512,9779,2885,24265,642,14334,271,,,4413,144486,9499,2842,,16486,37365,,,10728,30/05/20,,
94,90664,9930,3152,25018,753,14862,528,,,4444,149530,9249,2853,,16952,39289,,,10901,31/05/20,,
95,93435,10167,2771,25787,769,15210,348,,,4461,151267,9427,2895,,16303,41466,,,11321,01/06/20,,
96,97326,10637,3891,26509,722,15720,510,,,4468,153601,9775,2874,,16940,43709,,,11765,02/06/20,,
97,101238,11729,3912,27326,817,16320,600,,,4449,157354,10238,2850,,16829,44865,,,11725,03/06/20,,
98,105680,12545,4442,28389,1063,17158,838,,,4465,161724,10131,2899,,18377,47022,,,11711,04/06/20,,
99,110026,13170,4346,29580,1191,17815,657,,,4474,166049,10084,2894,,19015,49357,,,11678,05/06/20,,
100,113619,13511,3593,30223,643,18175,360,,,4491,170434,10079,2914,,19278,52345,,,11720,06/06/20,,
101,117103,13699,3484,30831,608,18552,377,,,4484,173975,10092,2923,,19629,54921,,,11966,07/06/20,,
102,120102,14053,2999,31493,662,18993,441,,,4424,177875,10346,2979,,18416,57052,,,11994,08/06/20,,
103,124301,14649,4199,32256,763,19692,699,,,4408,179985,10568,3105,,18904,59911,,,12636,09/06/20,,
104,129184,15357,4883,33713,1457,20723,1031,,,4436,186570,10952,3121,,19897,62666,,,12630,10/06/20,,
105,133974,15944,4790,34077,364,21631,908,,,4447,191465,10959,3125,,20832,65456,,,12747,11/06/20,,
106,139196,16448,5222,35272,1195,22434,803,,,4460,197590,11090,3184,,21872,68179,,,12712,12/06/20,,
107,142690,16872,3494,35954,682,22776,342,,,4456,202139,11049,3155,,21740,70640,,,11988,13/06/20,,
108,146837,17141,4147,36879,925,23359,583,,,4374,207076,10377,3130,,22398,73523,,,12448,14/06/20,,
109,150264,17580,3427,37503,624,23726,367,,,4331,211616,10679,3223,,20392,75855,,,12896,15/06/20,,
110,154863,18310,4599,38117,614,24564,838,,,4279,216857,11130,3294,,21159,79016,,,12996,16/06/20,,
111,159793,19080,4930,38871,754,25227,663,,,4360,222801,11176,3305,,22209,82158,,,13031,17/06/20,,
112,165455,19747,5662,40021,1150,26079,852,,,4303,228248,11202,3328,,23528,85933,,,13149,18/06/20,,
113,170485,20394,5030,41007,986,26721,642,,,4213,233137,11317,3359,,23653,89632,,,13351,19/06/20,,
114,175202,20781,4717,41777,770,27241,520,,,4142,238129,11508,3454,,23567,92838,,,12831,20/06/20,,
115,180545,21825,5343,42479,702,28505,1264,,,4080,242393,11044,3299,,24225,95278,,,13264,21/06/20,,
116,185122,22584,4577,42903,424,29424,919,,,4096,246147,11491,3267,,23155,97518,,,13716,22/06/20,,
117,191410,23377,6288,43596,693,30011,587,,,3945,251355,11847,3520,,24387,100924,,,13636,23/06/20,,
118,196847,24324,5437,44243,647,31075,1064,,,4008,256336,11887,3377,,24036,104860,,,13993,24/06/20,,
119,202951,25060,6104,45125,882,32017,942,,,3910,262117,12224,3446,,25529,108914,,,13988,25/06/20,,
120,208392,25779,5441,45977,852,32667,650,,,3908,267288,12085,3557,,25786,113417,,,13869,26/06/20,,
121,212802,26381,4410,46610,633,33153,486,,,3845,271151,11884,3578,,25700,116309,,,13115,27/06/20,,
122,216852,26648,4050,47047,437,33480,327,,,3806,275203,11257,3466,,25558,120189,,,13752,28/06/20,,
123,220657,27121,3805,47437,390,33696,216,,,3780,279035,11834,3517,,23359,123143,,,14372,29/06/20,,
124,226089,27769,5432,48014,577,34253,557,,,3793,283450,12358,3699,,23789,127094,,,14604,30/06/20,,
125,231770,28510,5681,48568,554,34953,700,,,3822,289142,12681,3633,,24734,131283,,,14532,01/07/20,,
126,238511,29189,6741,49573,1005,35631,678,,,3750,295561,12688,3642,,25565,136266,,,14519,02/07/20,,
127,245251,29843,6740,50592,1019,36584,953,,,3676,301986,12587,3659,,26063,140642,,,15013,03/07/20,,
128,252165,30366,6914,51658,1066,37360,776,,,3666,308439,12976,3811,,26075,144836,,,14193,04/07/20,,
129,256848,30639,4683,52210,552,37707,347,,,3592,312564,12810,3510,,26295,149906,,,14753,05/07/20,,
130,261750,31119,4902,52658,448,38201,494,,,3602,316520,12873,3597,,25805,154003,,,15171,06/07/20,,
131,268008,32014,6258,53423,765,39108,907,,,3623,320965,13249,3740,,26557,159396,,,15166,07/07/20,,
132,275003,32796,6995,54405,982,40087,979,,,3609,328908,13335,3608,,27891,164051,,,15392,08/07/20,,
133,282283,33526,7280,55344,939,40957,870,,48708,3569,335480,13514,3692,,29129,169425,,,15318,09/07/20,,
134,289174,34191,6891,56602,1258,41529,572,328000,49211,3476,343689,13451,3709,,29627,174201,,,15467,10/07/20,,
135,295268,34730,6094,57271,669,42079,550,332929,51701,3452,350007,13574,3767,,30682,178072,,,14950,11/07/20,,
136,299750,35006,4482,57674,403,42372,293,335922,48822,3454,354171,13078,3625,,29839,181846,,,15255,12/07/20,,
137,304435,35491,4685,58114,440,42753,381,341149,47619,3422,358663,13452,3802,,28843,185166,,,15693,13/07/20,,
138,311486,36327,7051,58855,741,43544,791,349893,49669,3380,363930,13272,3751,,29329,189762,,,15730,14/07/20,,
139,317635,36906,6149,59670,815,44117,573,356602,48207,3448,369411,13475,3806,,28361,194864,,,15742,15/07/20,,
140,324041,37574,6406,60474,804,44783,666,363599,48562,3411,375455,13750,3830,,28786,200937,,,15729,16/07/20,,
141,331298,38310,7257,61351,877,45366,583,372099,48857,3377,382003,13729,3859,,29363,206941,,,15474,17/07/20,,
142,338913,38888,7615,62076,725,46018,652,380469,50498,3355,388636,13530,3802,,30896,213277,,,15560,18/07/20,,
143,344224,39184,5311,62789,713,46280,262,383847,52771,3289,394156,13539,3854,,30478,217664,,,15973,19/07/20,,
144,349396,39485,5172,63527,738,46443,163,387267,50098,3342,399443,13918,3909,,29549,222265,,,16142,20/07/20,,
145,356255,40400,6859,64431,904,47253,810,395510,46820,3379,406151,14225,3812,,29654,227608,,,16270,21/07/20,,
146,362274,41190,6019,65214,783,47989,736,404092,48446,3391,411673,14267,3883,,30044,233813,,,16181,22/07/20,,
147,370712,41908,8438,66444,1230,48592,603,413074,50935,3415,419349,14232,3878,,31995,240375,,,16339,23/07/20,,
148,378285,42645,7573,67597,1153,49086,494,421111,53349,3438,426869,14274,3889,,31150,246529,,,16216,24/07/20,,
149,385036,43374,6751,68220,623,49557,471,428522,52258,3410,433384,14166,3922,,31990,251894,,,15855,25/07/20,,
150,390516,43680,5480,68903,683,49894,337,432572,53572,3407,438638,13925,3868,,31812,256070,,,15954,26/07/20,,
151,395489,44022,4973,69298,395,50113,219,435862,51612,3412,442884,14123,3808,,30108,260413,,,16158,27/07/20,,
152,402697,44876,7208,70612,1314,50911,798,444098,47655,3439,449854,14246,3922,,31128,266610,,,16079,28/07/20,,
153,408449,45361,5752,71296,684,51555,644,450570,49678,3459,455087,14311,3795,,29631,272274,,,16017,29/07/20,,
154,416179,46000,7730,72343,1047,52183,628,458668,48550,3483,461775,14240,3922,,30890,278041,,,16151,30/07/20,,
155,424637,46688,8458,73454,1111,52700,517,466948,50078,3383,469629,14229,3985,,31365,284610,,,15892,31/07/20,,
156,434193,47434,9556,74314,860,53513,813,475510,50833,3284,477733,13860,3994,,32944,291479,,,15387,01/08/20,,
157,439046,47746,4853,74890,576,53735,222,478072,48772,3181,483333,13405,3944,,32015,296478,,,15702,02/08/20,,
158,443813,48012,4767,75383,493,54096,361,480645,42360,3177,488207,13760,3883,,28741,301384,,,15701,03/08/20,,
159,449961,48869,6148,76173,790,54891,795,487969,43648,3211,493873,13827,3925,,28754,307386,,,15903,04/08/20,,
160,456100,49698,6139,76967,794,55389,498,494882,44636,3247,499915,13882,3951,,28962,312576,,,15637,05/08/20,,
161,462690,50517,6590,77790,823,56070,681,502811,46861,3176,506252,13652,3987,,30010,320195,,,15269,06/08/20,,
162,469407,51311,6717,78898,1108,56564,494,510232,47999,3151,513144,13239,3864,,30644,326974,,,15044,07/08/20,,
163,475902,52006,6495,79899,1001,57057,493,516310,46772,3115,520970,13093,3892,,30290,333030,,,14476,08/08/20,,
164,480278,52298,4376,80383,484,57314,257,518231,43547,3007,526911,12547,3708,,29667,338218,,,14405,09/08/20,,
165,485836,53003,5558,80898,515,57744,430,521342,39674,3004,532028,12546,3683,,28048,342486,,,14669,10/08/20,,
166,492522,53929,6686,81618,720,58373,629,529177,41317,2973,538333,12755,3832,,28370,348768,,,14667,11/08/20,,
167,498380,54666,5858,82510,892,59174,801,535461,42530,2902,542262,12765,3775,,29094,353783,,,14396,12/08/20,,
168,505751,55293,7371,83683,1173,59805,631,542505,43873,2852,553219,12611,3675,,30219,360886,,,14189,13/08/20,,
169,511369,55908,5618,84569,886,60361,556,549043,44983,2822,559974,12374,3646,,30366,368729,,,14106,14/08/20,,
170,517714,56543,6345,85667,1098,61010,649,554962,43010,2823,568359,12310,3653,,29306,377650,,,13659,15/08/20,,
171,522162,56757,4448,86159,492,61431,421,557978,41104,2803,573723,11988,3489,,28993,382289,,,13797,16/08/20,,
172,525733,57023,3571,86619,460,61620,189,560538,37867,2814,577531,12152,3536,,27107,386790,,,13786,17/08/20,,
173,531239,57774,5506,87329,710,62245,625,567210,39656,2811,584293,11877,3646,,27387,392187,,,13776,18/08/20,,
174,537031,58481,5792,88452,1123,62724,479,573193,40176,2889,591637,12093,3480,,27621,397619,,,13867,19/08/20,,
175,543806,59106,6775,89421,969,63194,470,579890,41916,2885,599525,12151,3503,,29143,403584,,,13678,20/08/20,,
176,549734,59610,5928,90351,930,63709,515,585598,41778,2807,606446,11943,3518,,29105,409797,,,13402,21/08/20,,
177,556216,60254,6482,91581,1230,64231,522,592086,42859,2765,614070,11734,3450,,30219,415648,,,12740,22/08/20,,
178,560164,60480,3948,92096,515,64595,364,595144,41563,2731,618779,11135,3264,,29865,419798,,,13024,23/08/20,,
179,563705,60800,3541,92343,247,64802,207,597353,36697,2720,622891,11445,3346,,26755,425036,,,13199,24/08/20,,
180,568621,61450,4916,92970,627,65128,326,603253,37965,2795,628937,11581,3442,,26627,431072,,,13058,25/08/20,,
181,573888,62076,5267,94200,1230,65787,659,608825,39616,2850,635729,11538,3305,,27292,436304,,,13006,26/08/20,,
182,579914,62594,6026,95185,985,66376,589,614467,41786,2878,643265,11475,3294,,28518,443157,,,12740,27/08/20,,
183,585738,63146,5824,96239,1054,66875,499,620448,42822,2891,650852,11189,3221,,28954,448223,,,12862,28/08/20,,
184,591712,63819,5974,97256,1017,67337,462,626730,43610,2875,658309,11260,3334,,29314,453895,,,12268,29/08/20,,
185,595841,64158,4129,97855,599,67486,149,629520,41959,2816,661474,10867,3060,,28981,458004,,,12299,30/08/20,,
186,599560,64414,3719,98450,595,67828,342,631969,38963,2839,668193,10834,3086,,27529,461319,,,12594,31/08/20,,
187,606036,65241,6476,99564,1114,68516,688,637752,39073,2914,676958,11074,3275,,28085,465998,,,12448,01/09/20,,
188,610957,65816,4921,100394,830,68844,328,643906,40599,2931,683438,10969,3191,,28283,471215,,,12160,02/09/20,,
189,616894,66329,5937,101571,1177,69502,658,650558,39940,2889,692319,10762,3061,,27498,477477,,,12089,03/09/20,,
190,623090,66851,6196,102938,1367,70075,573,657744,41578,2845,700502,10661,3135,,28254,482883,,,11663,04/09/20,,
191,629409,67326,6319,104255,1317,70390,315,664619,43237,2870,709182,10258,2999,,29493,488890,,,11503,05/09/20,,
192,634023,67558,4614,104981,726,70699,309,667634,41796,2820,715395,10154,2927,,29776,492606,,,11445,06/09/20,,
193,637509,67781,3486,105610,629,71045,346,669884,38393,2849,719981,10230,2836,,27852,495924,,,11922,07/09/20,,
194,642860,68484,5351,106769,1159,71618,573,676212,39236,2865,727817,10589,3030,,27775,500137,,,11675,08/09/20,,
195,647507,69095,4647,107613,844,71994,376,681321,39994,2906,734619,10375,2919,,27666,504793,,,11533,09/09/20,,
196,652364,69649,4857,108584,971,72401,407,686787,40909,2899,742268,10250,2892,,27711,510265,,,11394,10/09/20,,
197,658299,70183,5935,109806,1222,72941,540,692732,41025,2931,750813,10119,2936,,27611,515555,,,10990,11/09/20,,
198,663973,70604,5674,110809,1003,73353,412,698357,42259,2885,759188,9697,2899,,28696,521108,,,10489,12/09/20,,
199,668381,70821,4408,111443,634,74067,714,701352,40178,2858,765337,9377,2672,,28220,525020,,,10749,13/09/20,,
200,671716,71049,3335,111897,454,74214,147,703221,36616,2852,770196,9568,2747,,26642,528511,,,10997,14/09/20,,
201,676487,71678,4771,113118,1221,74894,680,708474,35262,2873,777715,9847,2841,,24735,534358,,,10739,15/09/20,,
202,680931,71978,4444,114268,1150,75412,518,712620,34749,2832,785019,9587,2703,,24428,538979,,,10379,16/09/20,,
203,684113,72179,3182,114736,468,75774,362,714892,32787,2812,789978,9253,2557,,23439,544715,,,10651,17/09/20,,
204,688954,72803,4841,115791,1055,76192,418,720985,34040,2788,797447,9438,2657,,23595,550287,,,10692,18/09/20,,
205,694121,73258,5167,116943,1152,76784,592,726944,34709,2830,804832,9562,2692,,23766,556151,,,10093,19/09/20,,
206,697663,73493,3542,117420,477,77015,231,729985,33709,2751,809373,9017,2481,,23512,560530,,,10243,20/09/20,,
207,700580,73697,2917,117808,388,77232,217,731617,30566,2705,813641,9103,2568,,21982,563812,,,10423,21/09/20,,
208,705263,74348,4683,118614,806,77823,591,737603,31961,2729,820675,9218,2672,,22023,568512,,,10158,22/09/20,,
209,710049,74949,4786,119866,1252,78330,507,743435,33489,2722,828280,8961,2677,,22416,572558,,,9777,23/09/20,,
210,715457,75439,5408,121087,1221,78909,579,749736,34223,2719,835985,8577,2622,,22225,576925,,,9762,24/09/20,,
211,720858,75844,5401,121931,844,79223,314,755715,35973,2666,843647,8509,2699,,23365,582455,,,9324,25/09/20,,
212,726431,76243,5573,123046,1115,79675,452,761314,37826,2632,851864,8195,2631,,25119,587730,,,8776,26/09/20,,
213,730317,76430,3886,123655,609,79907,232,763977,37189,2556,857958,7832,2385,,25794,591951,,,8735,27/09/20,,
214,733717,76603,3400,124314,659,80077,170,768492,36577,2542,875041,7675,2334,,24965,595113,,,9310,28/09/20,,
215,738163,77163,4446,125115,801,80562,485,771554,35525,2597,881622,8085,2592,,24842,599324,,,9208,29/09/20,,
216,743216,77646,5053,126371,1256,81038,476,777615,37565,2585,889134,8166,2458,,26055,603285,,,9098,30/09/20,,
217,748315,78078,5099,127463,1092,81532,494,783261,38647,2582,897156,8082,2433,,26744,606035,,,9194,01/10/20,,
218,753090,78492,4775,128529,1066,81814,282,788297,38851,2602,905584,8119,2522,,26690,610462,,,8819,02/10/20,,
219,757953,78880,4863,129484,955,82260,446,792965,39105,2608,913370,7789,2324,,26931,615241,,,8645,03/10/20,,+Correcci�n por dictaminaci�n 2609 defunciones
220,761665,79088,3712,130293,809,82591,331,795605,35724,2566,919591,7524,2401,,25136,618575,,,8792,04/10/20,,+Correcci�n por dictaminaci�n 578
221,789780,81877,3417,130964,671,82804,213,797367,32991,2556,925415,7727,2353,,23969,618703,,,8977,05/10/20,,+Correcci�n de asociaci�n epidemiol�gica 24120
222,794608,82348,4476,132156,1192,83344,540,921243,35336,2585,933316,7940,2417,,24129,622915,,,9108,06/10/20,,
223,799188,82726,4462,133106,950,83854,510,926906,36768,2597,940994,8030,2421,,24517,627323,,,9156,07/10/20,,
224,804488,83096,5300,137223,1065,87960,532,933255,38784,2586,948928,8010,2553,,26064,632361,,,9016,08/10/20,,
225,809751,83507,5263,138329,1106,88619,659,939600,39364,2586,956251,7852,2537,,25932,637351,,,8994,09/10/20,,
226,814328,83642,4577,139377,1048,88765,146,945737,41309,2585,964812,7843,2537,,26248,642789,,,8643,10/10/20,,
227,817503,83781,3175,139843,466,88866,101,947852,39511,2557,969859,7560,2391,,26515,646536,,,8835,11/10/20,,
228,821045,83945,3542,140525,682,89065,199,949722,36275,2597,975299,7770,2379,,25492,649772,,,9524,12/10/20,,
229,825340,84420,4295,141240,715,89507,442,955768,37463,2633,981171,8526,2452,,25390,653743,,,9721,13/10/20,,
230,829396,84898,4056,142379,1139,89986,479,963820,41008,2651,987457,8546,2625,,26276,658318,,,9583,14/10/20,,
231,834910,85285,5514,143549,1170,90369,383,971116,41995,2691,994695,8310,2617,,26279,663030,,,9518,15/10/20,,
232,841661,85704,6751,145006,1457,90979,610,977687,43708,2681,1004800,8348,2590,,28066,667386,,,9662,16/10/20,,
233,847108,86059,5447,146167,1161,91271,292,983791,45199,2701,1013186,8384,2617,,29178,671894,,,9495,17/10/20,,
234,851227,86167,4119,146952,785,91571,300,986618,44083,2715,1019821,8216,2579,,29279,675498,,,9602,18/10/20,,
235,854926,86338,3699,147663,711,91750,179,989265,40830,2735,1024804,8197,2561,,27690,703442,,,10200,19/10/20,,
236,860714,86893,5788,149109,1446,92547,797,996989,43226,2763,1032997,8795,2699,,28485,707715,,,10346,20/10/20,,
237,867559,87415,6845,150456,1347,93448,901,1005938,46249,2752,1041541,9053,2674,,29760,711773,,,10396,21/10/20,,
238,874171,87894,6612,151917,1461,94208,760,1014874,49319,2748,1049853,9100,2703,,30866,716594,,,10528,22/10/20,,
239,880775,88312,6604,153305,1388,94951,743,1023297,51532,2757,1058112,9103,2781,,31762,721439,,,10450,23/10/20,,
240,886800,88743,6025,154778,1473,95379,428,1030656,51114,2778,1066646,9038,2799,,30995,725585,,,10171,24/10/20,,
241,891160,88924,4360,155320,542,95530,151,1033977,49544,2757,1072760,8852,2627,,31008,728579,,,10297,25/10/20,,
242,895326,89171,4166,155899,579,95947,417,1036965,45826,2802,1078072,8799,2752,,29445,731874,,,10869,26/10/20,,
